id	teller	story	index	start	end	duration	start_fraction	end_fraction	text
allyhardesty/reading-old-fb-statuses/0	allyhardesty	reading-old-fb-statuses	0	0	3.6	3.6	0.0	0.00783221651727439	lots of alligators it's ali Hardesty
allyhardesty/reading-old-fb-statuses/1	allyhardesty	reading-old-fb-statuses	1	1.889	5.459	3.5699999999999994	0.004109738055869811	0.011876686102166913	welcome back to my youtube channel yes
allyhardesty/reading-old-fb-statuses/2	allyhardesty	reading-old-fb-statuses	2	3.6	7.08	3.48	0.00783221651727439	0.015403359150639631	I'm wearing the same outfit as my last
allyhardesty/reading-old-fb-statuses/3	allyhardesty	reading-old-fb-statuses	3	5.459	9.12	3.6609999999999996	0.011876686102166913	0.019841615177095116	video because I'm filming this the same
allyhardesty/reading-old-fb-statuses/4	allyhardesty	reading-old-fb-statuses	4	7.08	10.53	3.4499999999999993	0.015403359150639631	0.022909233313027588	day I'm filming this 20 minutes after I
allyhardesty/reading-old-fb-statuses/5	allyhardesty	reading-old-fb-statuses	5	9.119	12.359	3.24	0.019839439561395875	0.026888434426942824	just fill in the first video because
allyhardesty/reading-old-fb-statuses/6	allyhardesty	reading-old-fb-statuses	6	10.529	14.489	3.960000000000001	0.022907057697328346	0.03152249586633017	once i finish this video i'm gonna
allyhardesty/reading-old-fb-statuses/7	allyhardesty	reading-old-fb-statuses	7	12.359	16.288	3.9290000000000003	0.026888434426942824	0.03543642850926813	deactivate the facebook and never log
allyhardesty/reading-old-fb-statuses/8	allyhardesty	reading-old-fb-statuses	8	14.49	17.76	3.2700000000000014	0.031524671482029414	0.038638934818553655	back in again so if you don't know i'm
allyhardesty/reading-old-fb-statuses/9	allyhardesty	reading-old-fb-statuses	9	16.289	19.14	2.850999999999999	0.03543860412496737	0.04164128448350884	talking about my facebook that i have
allyhardesty/reading-old-fb-statuses/10	allyhardesty	reading-old-fb-statuses	10	17.76	20.88	3.1199999999999974	0.038638934818553655	0.04542685580019145	right now that a lot of you guys are
allyhardesty/reading-old-fb-statuses/11	allyhardesty	reading-old-fb-statuses	11	19.14	23.16	4.02	0.04164128448350884	0.05038725959446524	friends with me on it's not the facebook
allyhardesty/reading-old-fb-statuses/12	allyhardesty	reading-old-fb-statuses	12	20.879	24.899	4.02	0.045424680184492215	0.054170655295448615	i am using for this video this facebook
allyhardesty/reading-old-fb-statuses/13	allyhardesty	reading-old-fb-statuses	13	23.16	26.189	3.029	0.05038725959446524	0.056977199547471935	i use from the 7th grade up until the
allyhardesty/reading-old-fb-statuses/14	allyhardesty	reading-old-fb-statuses	14	24.899	28.108	3.2089999999999996	0.054170655295448615	0.06115220607431904	middle of my freshman year of high
allyhardesty/reading-old-fb-statuses/15	allyhardesty	reading-old-fb-statuses	15	26.189	29.939	3.75	0.056977199547471935	0.06513575841963276	school and then i deactivated it and
allyhardesty/reading-old-fb-statuses/16	allyhardesty	reading-old-fb-statuses	16	28.109	31.65	3.540999999999997	0.06115438169001828	0.06885823688103733	created a new facebook which i use now
allyhardesty/reading-old-fb-statuses/17	allyhardesty	reading-old-fb-statuses	17	29.939	33.179	3.240000000000002	0.06513575841963276	0.07218475328517972	but the thing about deactivating on
allyhardesty/reading-old-fb-statuses/18	allyhardesty	reading-old-fb-statuses	18	31.649	35.46	3.811	0.0688560612653381	0.07714733269515273	facebook is that you can always pull the
allyhardesty/reading-old-fb-statuses/19	allyhardesty	reading-old-fb-statuses	19	33.179	37.53	4.350999999999999	0.07218475328517972	0.08165085719258551	profile back up if you walk in which i
allyhardesty/reading-old-fb-statuses/20	allyhardesty	reading-old-fb-statuses	20	35.46	39.899	4.439	0.07714733269515273	0.0868048907840919	haven't done in a very very long time I
allyhardesty/reading-old-fb-statuses/21	allyhardesty	reading-old-fb-statuses	21	37.53	41.579	4.0489999999999995	0.08165085719258551	0.09045992515881995	haven't actually actively uses Facebook
allyhardesty/reading-old-fb-statuses/22	allyhardesty	reading-old-fb-statuses	22	39.899	43.23	3.330999999999996	0.0868048907840919	0.09405186667826995	for about five years I just remember are
